SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
1813,2016-07-03,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,600000,
1912,2016-07-03,Wooplr.com,E-Commerce,Fashion Discovery App,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",Seed Funding,300000,
1758,2016-07-04,Truly Social,Consumer Internet,Mobile Gaming Studio,Others,Nazara Technologies Pvt Ltd,Private Equity,250000,
1973,2016-07-05,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,250000,
349,2016-07-06,CreditVidya,Consumer Internet,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000,
364,2016-07-06,CueMath,Education,Maths Learning program,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000,
720,2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,22500000,
838,2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,260000,
908,2016-07-06,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,250000,
42,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,700000,
77,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000,
1366,2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,150000,
1578,2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,6000000,
65,2016-07-09,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,2800000,
1343,2016-07-09,Prozo,E-Commerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,1750000,
1546,2016-07-09,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,2800000,
1995,2016-07-09,Zilingo,E-Commerce,Marketplace App for Bangkok,Bangalore,"Venturra Capital, Sequoia India, Susquehanna International Group.?ò Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,3000000,
543,2016-07-10,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,1200000,
903,2016-07-10,KOOH Sports,Education,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,12500000,
1386,2016-07-10,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,10000000,
1534,2016-07-10,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,3000000,
878,2016-07-11,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000,
1427,2016-07-11,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Warburg Pincus,Private Equity,330000,
198,2016-07-12,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,600000,
992,2016-07-12,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Others,Eros Labs,Seed Funding,500000,
1144,2016-07-12,Netree,E-Commerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,250000,
1424,2016-07-12,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,16600,
1649,2016-07-12,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,470000,
1824,2016-07-12,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,1000000,
1873,2016-07-12,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,?ò Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,100000000,
290,2016-07-13,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,6000000,
698,2016-07-13,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,60000000,
1413,2016-07-13,RentMojo,Consumer Internet,"Online Furniture, Home Appliances Rental Platform",Bangalore,"Accel Partners, IDG Ventures India",Private Equity,3000000,
1507,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,260000,
1764,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,470000,
1796,2016-07-13,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,150000,
1808,2016-07-13,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,150000,
1934,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,600000,
103,2016-07-14,Augrav,E-Commerce,Personalized precious Jewellery etailer,Others,Keiretsu Forum,Seed Funding,600000,
1525,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,600000,
1732,2016-07-14,TransTutors - AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,16600,
125,2016-07-15,BaggOut,E-Commerce,Womenü??s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,1000000,
129,2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,1000000,
1425,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,1000000,
1468,2016-07-15,SatvaCart,E-Commerce,Online Grocers,Gurgaon,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,100000000,
1744,2016-07-15,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,GEMS group,Seed Funding,3000000,
1916,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,3000000,
186,2016-07-18,BlueStone,E-Commerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,600000,
775,2016-07-18,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,150000,
1782,2016-07-18,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,1000000,
1937,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,16600,
2026,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,16600,
85,2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,1200000,
394,2016-07-19,Deal4Loans - Wishfin,Consumer Internet,Loans Comparison platform,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000,
1161,2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,21500000,
1457,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000,
849,2016-07-20,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,500000,
1657,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,12500000,
1749,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,3000000,
22,2016-07-21,AbeRuk,E-Commerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,300000,
431,2016-07-21,Drums Food,FMCG,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",Seed Funding,150000,
1127,2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,3000000,
1906,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,500000,
319,2016-08-01,ConfirmTKT,Consumer Internet,Rail Ticket Confirmation predictor,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,150000,
541,2016-08-01,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,3000000,
673,2016-08-01,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,1750000,
1050,2016-08-01,Melorra,E-Commerce,Online- Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,2800000,
37,2016-08-02,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed Funding,100000,
661,2016-08-02,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,500000,
684,2016-08-02,Hansel.io,Technology,Mobile App Tech Solutions,Bangalore,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed Funding,300000,
843,2016-08-02,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,New Delhi,Ratan Tata,Private Equity,500000,
852,2016-08-02,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed Funding,330000,
1086,2016-08-02,Moglix,E-Commerce,B2B marketplace for Industrial products,New Delhi,Ratan Tata,Private Equity,300000,
1791,2016-08-02,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed Funding,500000,
1880,2016-08-02,Weddingz.in,Consumer Internet,Wedding Venues & Vendors Marketplace,Mumbai,Sixth Sense Ventures,Private Equity,1000000,
1931,2016-08-02,Xpressbees,E-Commerce,E-Commerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,600000,
328,2016-08-03,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,Seed Funding,500000,
435,2016-08-03,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,825000,
519,2016-08-03,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,Private Equity,5000000,
885,2016-08-03,Kartrocket,E-Commerce,E-Commerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,1000000,
996,2016-08-03,LoveCycles,Consumer Internet,Womenü??s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,5000000,
1859,2016-08-03,vPhrase Analytics,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",Seed Funding,75000000,
780,2016-08-04,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,500000,
968,2016-08-04,Little Black Book,Consumer Internet,Online City & Lifestyle Guide,New Delhi,"IDG, Indian Angel Network",Seed Funding,1000000,
1810,2016-08-04,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,300000,
13,2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,500000,
329,2016-08-06,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,100000000,
662,2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1200000,
966,2016-08-06,ListUp,E-Commerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,2800000,
1123,2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,150000,
1529,2016-08-06,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,100000,
1615,2016-08-06,StoreKing,E-Commerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,5000000,
1899,2016-08-06,Wired Hub,Others,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,22500000,
731,2016-08-07,HolaChef,Consumer Internet,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,6000000,
1287,2016-08-07,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,150000,
35,2016-08-08,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,45000000,
1088,2016-08-08,Mojarto,E-Commerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,300000,
1884,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,22500000,
2001,2016-08-08,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,1750000,
218,2016-08-09,BuildTraders,E-Commerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,3000000,
1715,2016-08-09,TopRankers,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,1750000,
636,2016-08-12,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,1200000,
1989,2016-08-12,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,150000,
223,2016-08-15,Buttercups,E-Commerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,250000,
658,2016-08-16,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,166000,
722,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,60000000,
865,2016-08-16,Joolz,E-Commerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,600000,
1019,2016-08-16,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,100000,
1224,2016-08-16,Oyo Rooms,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,SoftBank Group,Private Equity,600000,
1460,2016-08-16,SaleBhai,E-Commerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,16600,
1960,2016-08-16,Zappfresh,E-Commerce,Raw Meat & Ready to eat food etailer,Gurgaon,Ashvin Chadha,Seed Funding,2800000,
80,2016-08-17,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000,
1005,2016-08-17,MaalGaadi,Logistics,Online Logistics Marketplace,Others,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,100000000,
1278,2016-08-17,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,1200000,
2003,2016-08-17,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,3000000,
1048,2016-08-18,Meesho,E-Commerce,Mobile based E-Commerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,500000,
1500,2016-08-18,Sesame Software,Technology,Financial Technology Solutions Provider,Others,Speridian Technologies,Private Equity,6000000,
408,2016-08-19,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,375000,
1370,2016-08-19,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,250000,
1992,2016-08-19,Ziffity,Technology,Full Service E-Commerce Agency,Chennai,Aspire Systems,Private Equity,250000,
538,2016-08-22,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,16600,
1346,2016-08-22,Puro Wellness,Healthcare,"Organic,?ò Natural?ò Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,470000,
2029,2016-08-22,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,60000000,
1138,2016-08-23,NearU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,21500000,
1170,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,12500000,
1182,2016-08-23,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000,
1647,2016-08-23,TAC Security,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,50000000,
40,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Others,Kalaari Capital,Seed Funding,300000,
148,2016-08-24,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,60000000,
326,2016-08-24,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,150000,
461,2016-08-24,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,100000,
670,2016-08-24,Guarented,E-Commerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,1000000,
1501,2016-08-24,ShaadiSaga,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,21500000,
1771,2016-08-24,Uber Dreams,E-Commerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,325000,
1776,2016-08-24,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,?ò Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,21500000,
1803,2016-08-24,UrbanLadder,E-Commerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,150000,
366,2016-08-25,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,6000000,
463,2016-08-25,EngineerBabu,Technology,Mobile App & Web Development company,Others,Scale Ventures,Seed Funding,3000000,
1137,2016-08-25,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,?ò Arpan Nagdeve",Seed Funding,50000000,
1905,2016-08-25,WitWorks,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,8200000,
2019,2016-08-25,ZoomCar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,150000,
360,2016-08-26,Crown-it,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,50000000,
1079,2016-08-26,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,600000,
1113,2016-08-26,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,600000,
1299,2016-08-26,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,16600,
973,2016-08-29,LivSpace,Consumer Internet,Home Design & D??cor solutions,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,1750000,
979,2016-08-29,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,285000,
1172,2016-08-29,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,1000000,
1450,2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,300000,
2013,2016-08-29,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,100000000,
237,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,150000,
356,2016-08-30,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,2000000,
392,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,6000000,
755,2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,8600000,
1247,2016-08-30,Paytm,E-Commerce,E-Commerce,Bangalore,MediaTek Inc.,Private Equity,600000,
1330,2016-08-30,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,330000,
556,2016-08-31,Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,100000000,
786,2016-08-31,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,600000,
1001,2016-09-01,Lumiere,E-Commerce,Organic Food eTailer,Bangalore,Undisclosed investors,Private Equity,2800000,
647,2016-09-02,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,285000,
785,2016-09-02,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",Seed Funding,150000,
303,2016-09-03,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed Funding,315000,
794,2016-09-03,Indiamart,E-Commerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,Private Equity,100000000,
879,2016-09-03,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,16600,
1118,2016-09-03,MyGubbi,Others,Interior Design & Home D??cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,6000000,
1174,2016-09-03,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,600000,
1560,2016-09-03,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,600000,
1935,2016-09-03,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed Funding,300000,
987,2016-09-05,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,16600,
1410,2016-09-05,Rentickle,E-Commerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,3000000,
1707,2016-09-05,TOKO Innovation Studios,Consumer Internet,Childrens Entertainment Games & Products,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,250000,
467,2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,2800000,
483,2016-09-06,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,250000,
1664,2016-09-06,Teabox,E-Commerce,Online Tea Store,Others,Cameron Jones,Seed Funding,50000000,
1070,2016-09-08,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,150000,
1985,2016-09-08,Zeolr-RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,150000,
228,2016-09-09,Byjuü??s,Education,Online Education Platform,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,3000000,
1163,2016-09-09,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,16600,
773,2016-09-11,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,100000000,
1589,2016-09-11,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,ADAG Reliance Private Equity,Private Equity,22500000,
1145,2016-09-12,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,330000,
1179,2016-09-12,Nykaa,E-Commerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,300000,
1595,2016-09-12,Stalk Buy Love,E-Commerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,3000000,
1904,2016-09-12,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,16600,
513,2016-09-13,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,150000,
767,2016-09-13,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,New Delhi,Ratan Tata,Seed Funding,150000,
1136,2016-09-13,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,1200000,
1516,2016-09-13,ShoeKonnect,E-Commerce,Footwear & Leather B2B App,Others,Indian Angels Network,Seed Funding,330000,
553,2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,16600,
943,2016-09-14,LensPick,E-Commerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,600000,
1988,2016-09-14,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,1000000,
591,2016-09-15,Furlenco,E-Commerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,22500000,
643,2016-09-15,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,300000,
