SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
1387,2015-03-23,RazorPay,Consumer Internet,Online Payment Gateway,Mumbai,Y Combinator,Seed Funding,470000,
1222,2015-03-25,OYO Rooms,Consumer Internet,Online Branded Budget Room Booking Service,Gurgaon,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,25000000,Series A
1662,2015-03-25,Teabox,E-Commerce,Online Tea Store,Others,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,2800000,Series A
1446,2015-03-26,Roposo,E-Commerce,Social Fashion E-Commerce Discovery platform,Gurgaon,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,330000,Series A
963,2015-03-28,LimeRoad.com,E-Commerce,Online fashion marketplace,Mumbai,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,22500000,
94,2015-03-30,Arohan Financial Services,Technology,,Mumbai,Tano Capital,Private Equity,3000000,
86,2015-03-31,Appsdaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Ru-Net, Kalaari Capital,?ò Qualcomm Ventures",Private Equity,16000000,Series C
183,2015-04-04,Bluegape.com,Consumer Internet,Visual Blogging platform,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,1000000,
886,2015-04-04,KeepTrax,Consumer Internet,Location Based App,Hyderabad,,Seed Funding,825000,
81,2015-04-05,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,3000000,
1581,2015-04-05,SpoonJoy,Consumer Internet,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,3000000,
1920,2015-04-05,World Art Community,E-Commerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,200000,
446,2015-04-06,Ecom Express,Logistics,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,3000000,Series C
547,2015-04-06,Flipkart.com,E-Commerce,E-Commerce Marketplace,Bangalore,Morgan Stanley,Private Equity,250000,Late Stage
1835,2015-04-06,Vidooly,Consumer Internet,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,3000000,Pre-Series A
2023,2015-04-06,Zopper,Consumer Internet,Hyperlocal Shopping App,Mumbai,"Tiger Global,?ò Nirvana Ventures Advisors",Private Equity,3000000,Series C
1608,2015-04-07,StitchWood,E-Commerce,Custom Furniture Online,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,325000,
1270,2015-04-08,Pickingo,Logistics,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,16600,Series A
293,2015-04-09,Clapsnslaps,Consumer Internet,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,600000,
1442,2015-04-09,RoomCentral,Consumer Internet,Cloud-based Hotel Booking Platform,Bangalore,Karanpal Singh,Seed Funding,2000000,
1250,2015-04-11,Paytunes,Consumer Internet,Voice Call incentivization mobile app,New Delhi,CIO Angel Network,Seed Funding,60000000,
1515,2015-04-11,Shirsa Labs,Technology,Digital Intelligent learning platform,Mumbai,ah! Ventures,Seed Funding,16600,
1945,2015-04-11,YourDOST,Consumer Internet,Online Counselling and psychological support platform,Bangalore,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,100000,
84,2015-04-12,Applop,Consumer Internet,Mobile Apps SaaS Platform,Kolkata,GHV Accelerator,Seed Funding,3000000,
258,2015-04-12,CaRPM,Consumer Internet,Car Maintenance & Management mobile app,Gurgaon,GHV Accelerator,Seed Funding,100000,
243,2015-04-13,Capricoast,E-Commerce,Modular Furnishings Marketplace,Bangalore,Accel Partners India,Seed Funding,3000000,
317,2015-04-13,Commeasure,Consumer Internet,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,150000,
1135,2015-04-13,Nayi Disha,Education,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,500000,
1682,2015-04-13,The Porter,Logistics,Logistics Tech,Mumbai,Kae Capital,Seed Funding,5000000,
2022,2015-04-13,ZopNow,Consumer Internet,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,22500000,Series B
983,2015-04-14,LocalOye,E-Commerce,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,8200000,Series A
666,2015-04-15,Grofers,E-Commerce,Hyper-local Grocery Delivery platform,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,6000000,Series B
1257,2015-04-15,PepperTap,E-Commerce,Hyperlocal Grocery Delivery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,3000000,Series A
1304,2015-04-15,PolicyBazaar,Consumer Internet,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,3000000,Series D
1655,2015-04-16,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,1000000,
1797,2015-04-16,UrbanClap,Consumer Internet,Hyperlocal On-Demand Household Services platform,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,12500000,
6,2015-04-20,1mg (Healthkartplus),E-Commerce,Online Pharmacy,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,825000,Series A
1239,2015-04-20,Pastiwala,Others,Material Collection & Recycling,Others,Agnus Capital,Private Equity,4000000,Series A
1627,2015-04-20,Sulekha.com,Consumer Internet,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,150000,Series C
1864,2015-04-20,Vyomo,Consumer Internet,On-Demand Beauty Service provider,Gurgaon,YouWeCan Ventures,Seed Funding,500000,
